x                | f_szereg(x)   | f_œcis³e(x)   | liczba wyrazów szeregu | warunek stopu (e lub M)
-5.00000000      | 0.28362502    | 0.28366219    | 18                     | e
-4.00000000      | -0.65363332   | -0.65364362   | 16                     | e
-3.00000000      | -0.98999449   | -0.98999250   | 14                     | e
-2.00000000      | -0.41615520   | -0.41614684   | 10                     | e
-1.00000000      | 0.54030258    | 0.54030231    | 8                      | e
0.00000000       | 1.00000000    | 1.00000000    | 2                      | e
1.00000000       | 0.54030258    | 0.54030231    | 8                      | e
2.00000000       | -0.41615520   | -0.41614684   | 10                     | e
3.00000000       | -0.98999449   | -0.98999250   | 14                     | e
4.00000000       | -0.65363332   | -0.65364362   | 16                     | e
5.00000000       | 0.28362502    | 0.28366219    | 18                     | e
